case,relative_hour,wind_speed_m_s,b,n,s
BCwave_b15n1,-27,44.23556108631394,1.5,1,0
BCwave_b15n1,-26,45.0444379386823,1.5,1,0
BCwave_b15n1,-25,45.07047560005285,1.5,1,0
BCwave_b15n1,-24,45.085963980181646,1.5,1,0
BCwave_b15n1,-23,45.39561815654883,1.5,1,0
BCwave_b15n1,-22,45.688006963664506,1.5,1,0
BCwave_b15n1,-21,45.77591212604874,1.5,1,0
BCwave_b15n1,-20,45.95815872021759,1.5,1,0
BCwave_b15n1,-19,46.12165938088358,1.5,1,0
BCwave_b15n1,-18,46.292473825423436,1.5,1,0
BCwave_b15n1,-17,46.64601539481038,1.5,1,0
BCwave_b15n1,-16,47.297421571092514,1.5,1,0
BCwave_b15n1,-15,47.16197707492629,1.5,1,0
BCwave_b15n1,-14,46.83684192408939,1.5,1,0
BCwave_b15n1,-13,47.3953650815745,1.5,1,0
BCwave_b15n1,-12,47.36018771803436,1.5,1,0
BCwave_b15n1,-11,46.892891148334236,1.5,1,0
BCwave_b15n1,-10,46.88233630925297,1.5,1,0
BCwave_b15n1,-9,46.7803606349414,1.5,1,0
BCwave_b15n1,-8,47.0460243999141,1.5,1,0
BCwave_b15n1,-7,46.79561478270702,1.5,1,0
BCwave_b15n1,-6,47.31287765008826,1.5,1,0
BCwave_b15n1,-5,47.3947453603899,1.5,1,0
BCwave_b15n1,-4,47.87474156367569,1.5,1,0
BCwave_b15n1,-3,48.71323676398175,1.5,1,0
BCwave_b15n1,-2,49.20497155820218,1.5,1,0
BCwave_b15n1,-1,48.805322858766225,1.5,1,0
BCwave_b15n1,0,49.94422716196137,1.5,1,0
BCwave_b15n1,1,51.09781193240456,1.5,1,0
BCwave_b15n1,2,51.03948559406592,1.5,1,0
BCwave_b15n1,3,51.35095631888988,1.5,1,0
BCwave_b15n1,4,52.80224376217426,1.5,1,0
BCwave_b15n1,5,51.13104582512419,1.5,1,0
BCwave_b15n1,6,52.8341029528576,1.5,1,0
BCwave_b15n1,7,52.58351961612951,1.5,1,0
BCwave_b15n1,8,53.468735227147576,1.5,1,0
BCwave_b15n1,9,52.332905843340164,1.5,1,0
BCwave_b15n1,10,52.81137245423672,1.5,1,0
BCwave_b15n1,11,52.340403386380444,1.5,1,0
BCwave_b15n1,12,54.23578049122619,1.5,1,0
BCwave_b15n1,13,52.652143095309185,1.5,1,0
BCwave_b15n1,14,51.80842863431644,1.5,1,0
BCwave_b15n1,15,51.38066364203647,1.5,1,0
BCwave_b15n1,16,49.6027708506288,1.5,1,0
BCwave_b15n1,17,48.28793952229401,1.5,1,0
BCwave_b15n1,18,48.42674330924818,1.5,1,0
BCwave_b15n1,19,48.483447488760554,1.5,1,0
BCwave_b15n1,20,48.31920411358767,1.5,1,0
BCwave_b15n1,21,48.24979283584483,1.5,1,0
BCwave_b15n1,22,48.620165063708654,1.5,1,0
BCwave_b15n1,23,49.067959277898524,1.5,1,0
BCwave_b15n1,24,49.87331108952341,1.5,1,0
BCwave_b15n1,25,50.86096128053141,1.5,1,0
BCwave_b15n1,26,51.918702126368466,1.5,1,0
BCwave_b15n1,27,53.169842284370056,1.5,1,0
BCwave_b15n1s-10,-27,40.95189758063699,1.5,1,-10
BCwave_b15n1s-10,-26,41.363433167818464,1.5,1,-10
BCwave_b15n1s-10,-25,41.59250556559487,1.5,1,-10
BCwave_b15n1s-10,-24,42.41730263528257,1.5,1,-10
BCwave_b15n1s-10,-23,42.822003082828296,1.5,1,-10
BCwave_b15n1s-10,-22,42.69286155334716,1.5,1,-10
BCwave_b15n1s-10,-21,42.755452144689336,1.5,1,-10
BCwave_b15n1s-10,-20,42.84464508548485,1.5,1,-10
BCwave_b15n1s-10,-19,43.038175748501395,1.5,1,-10
BCwave_b15n1s-10,-18,43.42409952139297,1.5,1,-10
BCwave_b15n1s-10,-17,43.66001597517305,1.5,1,-10
BCwave_b15n1s-10,-16,44.36790276804355,1.5,1,-10
