case,b,n,s,initial_eady_area_mass_weighted_30_70N_day-1,eady_valid_weight_fraction,eady_domain_latitude_min_deg,eady_domain_latitude_max_deg,eady_pressure_top_hpa,eady_pressure_bottom_hpa
BCwave_b1n1s-10,1.0,1,-10,0.27805389465418723,1.0,30.5,69.5,10.0,1000.0
BCwave_b1n1,1.0,1,0,0.3366611913609688,1.0,30.5,69.5,10.0,1000.0
BCwave_b1n1s10,1.0,1,10,0.33125571274636956,1.0,30.5,69.5,10.0,1000.0
BCwave_b1n3s-10,1.0,3,-10,0.20040630808280677,1.0,30.5,69.5,10.0,1000.0
BCwave_b1n3,1.0,3,0,0.26875334630883035,1.0,30.5,69.5,10.0,1000.0
BCwave_b1n3s10,1.0,3,10,0.25603930682070114,1.0,30.5,69.5,10.0,1000.0
BCwave_b1n6s-10,1.0,6,-10,0.1585512366664289,1.0,30.5,69.5,10.0,1000.0
BCwave_b1n6,1.0,6,0,0.21340025218020464,1.0,30.5,69.5,10.0,1000.0
BCwave_b1n6s10,1.0,6,10,0.19971910972328205,1.0,30.5,69.5,10.0,1000.0
BCwave_b15n1s-10,1.5,1,-10,0.3458497727315602,1.0,30.5,69.5,10.0,1000.0
BCwave_b15n1,1.5,1,0,0.4182827982007258,1.0,30.5,69.5,10.0,1000.0
BCwave_b15n1s10,1.5,1,10,0.4112530812655044,1.0,30.5,69.5,10.0,1000.0
BCwave_b15n3s-10,1.5,3,-10,0.24837943011480054,1.0,30.5,69.5,10.0,1000.0
BCwave_b15n3,1.5,3,0,0.3329660392154125,1.0,30.5,69.5,10.0,1000.0
BCwave_b15n3s10,1.5,3,10,0.31807433334263757,1.0,30.5,69.5,10.0,1000.0
BCwave_b15n6s-10,1.5,6,-10,0.19598022055680495,1.0,30.5,69.5,10.0,1000.0
BCwave_b15n6,1.5,6,0,0.2639590691614458,1.0,30.5,69.5,10.0,1000.0
BCwave_b15n6s10,1.5,6,10,0.24817502682607068,1.0,30.5,69.5,10.0,1000.0
BCwave_b2n1s-10,2.0,1,-10,0.3858697236997453,1.0,30.5,69.5,10.0,1000.0
BCwave_b2n1,2.0,1,0,0.46721738853814854,1.0,30.5,69.5,10.0,1000.0
BCwave_b2n1s10,2.0,1,10,0.45928122661896575,1.0,30.5,69.5,10.0,1000.0
BCwave_b2n3s-10,2.0,3,-10,0.27533265332464635,1.0,30.5,69.5,10.0,1000.0
BCwave_b2n3,2.0,3,0,0.3696649878774667,1.0,30.5,69.5,10.0,1000.0
BCwave_b2n3s10,2.0,3,10,0.35451655487478145,1.0,30.5,69.5,10.0,1000.0
BCwave_b2n6s-10,2.0,6,-10,0.21646529252901803,1.0,30.5,69.5,10.0,1000.0
BCwave_b2n6,2.0,6,0,0.292065588046171,1.0,30.5,69.5,10.0,1000.0
BCwave_b2n6s10,2.0,6,10,0.27618141279964215,1.0,30.5,69.5,10.0,1000.0
