ensemble,case,b,n,s,variable,pressure_hpa,value,window_start_h,window_end_h,window_count
standard,BCwave_b1n1s-10,1.0,1,-10,eddy_heat_flux_vT,10.0,0.00016015204691312052,314.0,342.0,29
standard,BCwave_b1n1s-10,1.0,1,-10,eddy_heat_flux_vT,50.0,0.001125975612326172,314.0,342.0,29
standard,BCwave_b1n1s-10,1.0,1,-10,eddy_heat_flux_vT,100.0,0.006109017942999971,314.0,342.0,29
standard,BCwave_b1n1s-10,1.0,1,-10,eddy_heat_flux_vT,150.0,0.002890327495747599,314.0,342.0,29
standard,BCwave_b1n1s-10,1.0,1,-10,eddy_heat_flux_vT,200.0,-0.03728039113098178,314.0,342.0,29
standard,BCwave_b1n1s-10,1.0,1,-10,eddy_heat_flux_vT,250.0,-0.06269199568135984,314.0,342.0,29
standard,BCwave_b1n1s-10,1.0,1,-10,eddy_heat_flux_vT,300.0,0.05136435453234048,314.0,342.0,29
standard,BCwave_b1n1s-10,1.0,1,-10,eddy_heat_flux_vT,400.0,0.5300014132055743,314.0,342.0,29
standard,BCwave_b1n1s-10,1.0,1,-10,eddy_heat_flux_vT,500.0,1.1491550926504464,314.0,342.0,29
standard,BCwave_b1n1s-10,1.0,1,-10,eddy_heat_flux_vT,600.0,1.8218809530652802,314.0,342.0,29
standard,BCwave_b1n1s-10,1.0,1,-10,eddy_heat_flux_vT,700.0,2.449980883762754,314.0,342.0,29
standard,BCwave_b1n1s-10,1.0,1,-10,eddy_heat_flux_vT,850.0,3.9459312619834113,314.0,342.0,29
standard,BCwave_b1n1s-10,1.0,1,-10,eddy_heat_flux_vT,925.0,5.521898680719836,314.0,342.0,29
standard,BCwave_b1n1s-10,1.0,1,-10,eddy_heat_flux_vT,975.0,6.358449048009412,314.0,342.0,29
standard,BCwave_b1n1s-10,1.0,1,-10,eddy_heat_flux_vT,1000.0,6.319563158627214,314.0,342.0,29
standard,BCwave_b1n1s-10,1.0,1,-10,baroclinic_conversion_proxy,10.0,1.978748791974966e-12,314.0,342.0,29
standard,BCwave_b1n1s-10,1.0,1,-10,baroclinic_conversion_proxy,50.0,-1.118407838802146e-11,314.0,342.0,29
standard,BCwave_b1n1s-10,1.0,1,-10,baroclinic_conversion_proxy,100.0,-2.982745047121731e-09,314.0,342.0,29
standard,BCwave_b1n1s-10,1.0,1,-10,baroclinic_conversion_proxy,150.0,-5.3531456662061955e-09,314.0,342.0,29
standard,BCwave_b1n1s-10,1.0,1,-10,baroclinic_conversion_proxy,200.0,1.2754398769316295e-07,314.0,342.0,29
standard,BCwave_b1n1s-10,1.0,1,-10,baroclinic_conversion_proxy,250.0,2.9494091252061106e-07,314.0,342.0,29
standard,BCwave_b1n1s-10,1.0,1,-10,baroclinic_conversion_proxy,300.0,-2.3579417823635468e-07,314.0,342.0,29
standard,BCwave_b1n1s-10,1.0,1,-10,baroclinic_conversion_proxy,400.0,-1.7984799961627217e-06,314.0,342.0,29
standard,BCwave_b1n1s-10,1.0,1,-10,baroclinic_conversion_proxy,500.0,-4.574739170623661e-08,314.0,342.0,29
standard,BCwave_b1n1s-10,1.0,1,-10,baroclinic_conversion_proxy,600.0,6.244165339514188e-06,314.0,342.0,29
standard,BCwave_b1n1s-10,1.0,1,-10,baroclinic_conversion_proxy,700.0,1.4772788055215014e-05,314.0,342.0,29
standard,BCwave_b1n1s-10,1.0,1,-10,baroclinic_conversion_proxy,850.0,3.1568772540375557e-05,314.0,342.0,29
standard,BCwave_b1n1s-10,1.0,1,-10,baroclinic_conversion_proxy,925.0,4.511908113711578e-05,314.0,342.0,29
standard,BCwave_b1n1s-10,1.0,1,-10,baroclinic_conversion_proxy,975.0,5.0384763669391196e-05,314.0,342.0,29
standard,BCwave_b1n1s-10,1.0,1,-10,baroclinic_conversion_proxy,1000.0,4.848374838133921e-05,314.0,342.0,29
standard,BCwave_b1n1s-10,1.0,1,-10,ep_flux_vertical,10.0,-1.6823282981741017,314.0,342.0,29
standard,BCwave_b1n1s-10,1.0,1,-10,ep_flux_vertical,50.0,-16.040407509639344,314.0,342.0,29
standard,BCwave_b1n1s-10,1.0,1,-10,ep_flux_vertical,100.0,-373.35297683189657,314.0,342.0,29
standard,BCwave_b1n1s-10,1.0,1,-10,ep_flux_vertical,150.0,-512.2860328411234,314.0,342.0,29
standard,BCwave_b1n1s-10,1.0,1,-10,ep_flux_vertical,200.0,11757.746026400862,314.0,342.0,29
standard,BCwave_b1n1s-10,1.0,1,-10,ep_flux_vertical,250.0,23438.70925377155,314.0,342.0,29
standard,BCwave_b1n1s-10,1.0,1,-10,ep_flux_vertical,300.0,-19085.49542025862,314.0,342.0,29
standard,BCwave_b1n1s-10,1.0,1,-10,ep_flux_vertical,400.0,-226964.49137931035,314.0,342.0,29
standard,BCwave_b1n1s-10,1.0,1,-10,ep_flux_vertical,500.0,-564519.8221982758,314.0,342.0,29
standard,BCwave_b1n1s-10,1.0,1,-10,ep_flux_vertical,600.0,-1048447.0474137932,314.0,342.0,29
standard,BCwave_b1n1s-10,1.0,1,-10,ep_flux_vertical,700.0,-1626008.3405172413,314.0,342.0,29
standard,BCwave_b1n1s-10,1.0,1,-10,ep_flux_vertical,850.0,-3040031.474137931,314.0,342.0,29
standard,BCwave_b1n1s-10,1.0,1,-10,ep_flux_vertical,925.0,-4322261.5,314.0,342.0,29
standard,BCwave_b1n1s-10,1.0,1,-10,ep_flux_vertical,975.0,-5075383.8965517245,314.0,342.0,29
standard,BCwave_b1n1s-10,1.0,1,-10,ep_flux_vertical,1000.0,-5272697.068965517,314.0,342.0,29
standard,BCwave_b1n1s-5,1.0,1,-5,eddy_heat_flux_vT,10.0,0.00032118980722901013,307.0,341.0,35
standard,BCwave_b1n1s-5,1.0,1,-5,eddy_heat_flux_vT,50.0,0.0029034004746271032,307.0,341.0,35
standard,BCwave_b1n1s-5,1.0,1,-5,eddy_heat_flux_vT,100.0,0.014955455676785537,307.0,341.0,35
standard,BCwave_b1n1s-5,1.0,1,-5,eddy_heat_flux_vT,150.0,-0.01617350509124143,307.0,341.0,35
standard,BCwave_b1n1s-5,1.0,1,-5,eddy_heat_flux_vT,200.0,-0.16504874868052347,307.0,341.0,35
standard,BCwave_b1n1s-5,1.0,1,-5,eddy_heat_flux_vT,250.0,-0.2671984340463366,307.0,341.0,35
standard,BCwave_b1n1s-5,1.0,1,-5,eddy_heat_flux_vT,300.0,-0.08051672545926912,307.0,341.0,35
standard,BCwave_b1n1s-5,1.0,1,-5,eddy_heat_flux_vT,400.0,0.7417673315320696,307.0,341.0,35
standard,BCwave_b1n1s-5,1.0,1,-5,eddy_heat_flux_vT,500.0,1.7836674383708409,307.0,341.0,35
standard,BCwave_b1n1s-5,1.0,1,-5,eddy_heat_flux_vT,600.0,2.8554376670292445,307.0,341.0,35
standard,BCwave_b1n1s-5,1.0,1,-5,eddy_heat_flux_vT,700.0,3.539920963559832,307.0,341.0,35
standard,BCwave_b1n1s-5,1.0,1,-5,eddy_heat_flux_vT,850.0,6.141782529013497,307.0,341.0,35
standard,BCwave_b1n1s-5,1.0,1,-5,eddy_heat_flux_vT,925.0,8.515727261134556,307.0,341.0,35
standard,BCwave_b1n1s-5,1.0,1,-5,eddy_heat_flux_vT,975.0,9.53695182800293,307.0,341.0,35
standard,BCwave_b1n1s-5,1.0,1,-5,eddy_heat_flux_vT,1000.0,9.205624607631139,307.0,341.0,35
standard,BCwave_b1n1s-5,1.0,1,-5,baroclinic_conversion_proxy,10.0,6.307782185961873e-12,307.0,341.0,35
standard,BCwave_b1n1s-5,1.0,1,-5,baroclinic_conversion_proxy,50.0,-4.541545294595955e-11,307.0,341.0,35
standard,BCwave_b1n1s-5,1.0,1,-5,baroclinic_conversion_proxy,100.0,-8.399576285305394e-09,307.0,341.0,35
standard,BCwave_b1n1s-5,1.0,1,-5,baroclinic_conversion_proxy,150.0,3.184558846466449e-08,307.0,341.0,35
standard,BCwave_b1n1s-5,1.0,1,-5,baroclinic_conversion_proxy,200.0,6.099373649703921e-07,307.0,341.0,35
standard,BCwave_b1n1s-5,1.0,1,-5,baroclinic_conversion_proxy,250.0,1.309811359208522e-06,307.0,341.0,35
standard,BCwave_b1n1s-5,1.0,1,-5,baroclinic_conversion_proxy,300.0,4.1516429811443753e-07,307.0,341.0,35
standard,BCwave_b1n1s-5,1.0,1,-5,baroclinic_conversion_proxy,400.0,-2.8185798263231324e-06,307.0,341.0,35
standard,BCwave_b1n1s-5,1.0,1,-5,baroclinic_conversion_proxy,500.0,-2.9189223340608803e-07,307.0,341.0,35
standard,BCwave_b1n1s-5,1.0,1,-5,baroclinic_conversion_proxy,600.0,1.032843377158445e-05,307.0,341.0,35
standard,BCwave_b1n1s-5,1.0,1,-5,baroclinic_conversion_proxy,700.0,2.2875366422730232e-05,307.0,341.0,35
standard,BCwave_b1n1s-5,1.0,1,-5,baroclinic_conversion_proxy,850.0,5.331674276801225e-05,307.0,341.0,35
standard,BCwave_b1n1s-5,1.0,1,-5,baroclinic_conversion_proxy,925.0,7.576860766026325e-05,307.0,341.0,35
standard,BCwave_b1n1s-5,1.0,1,-5,baroclinic_conversion_proxy,975.0,8.267416976325746e-05,307.0,341.0,35
standard,BCwave_b1n1s-5,1.0,1,-5,baroclinic_conversion_proxy,1000.0,7.69589634728618e-05,307.0,341.0,35
standard,BCwave_b1n1s-5,1.0,1,-5,ep_flux_vertical,10.0,-3.385953392301287,307.0,341.0,35
standard,BCwave_b1n1s-5,1.0,1,-5,ep_flux_vertical,50.0,-41.04069649832589,307.0,341.0,35
standard,BCwave_b1n1s-5,1.0,1,-5,ep_flux_vertical,100.0,-920.5177001953125,307.0,341.0,35
standard,BCwave_b1n1s-5,1.0,1,-5,ep_flux_vertical,150.0,3064.3557512555803,307.0,341.0,35
standard,BCwave_b1n1s-5,1.0,1,-5,ep_flux_vertical,200.0,53122.157254464284,307.0,341.0,35
standard,BCwave_b1n1s-5,1.0,1,-5,ep_flux_vertical,250.0,97075.94642857143,307.0,341.0,35
standard,BCwave_b1n1s-5,1.0,1,-5,ep_flux_vertical,300.0,30175.460044642856,307.0,341.0,35
standard,BCwave_b1n1s-5,1.0,1,-5,ep_flux_vertical,400.0,-286311.9267857143,307.0,341.0,35
standard,BCwave_b1n1s-5,1.0,1,-5,ep_flux_vertical,500.0,-782229.5571428571,307.0,341.0,35
standard,BCwave_b1n1s-5,1.0,1,-5,ep_flux_vertical,600.0,-1511776.1035714287,307.0,341.0,35
standard,BCwave_b1n1s-5,1.0,1,-5,ep_flux_vertical,700.0,-2225875.8,307.0,341.0,35
standard,BCwave_b1n1s-5,1.0,1,-5,ep_flux_vertical,850.0,-4440964.571428572,307.0,341.0,35
standard,BCwave_b1n1s-5,1.0,1,-5,ep_flux_vertical,925.0,-6111221.542857143,307.0,341.0,35
standard,BCwave_b1n1s-5,1.0,1,-5,ep_flux_vertical,975.0,-7079364.985714286,307.0,341.0,35
standard,BCwave_b1n1s-5,1.0,1,-5,ep_flux_vertical,1000.0,-7451598.885714286,307.0,341.0,35
standard,BCwave_b1n1,1.0,1,0,eddy_heat_flux_vT,10.0,0.0005500940828106219,298.0,335.0,38
standard,BCwave_b1n1,1.0,1,0,eddy_heat_flux_vT,50.0,0.00656593636315512,298.0,335.0,38
standard,BCwave_b1n1,1.0,1,0,eddy_heat_flux_vT,100.0,0.020781549281979863,298.0,335.0,38
standard,BCwave_b1n1,1.0,1,0,eddy_heat_flux_vT,150.0,-0.07147212130458731,298.0,335.0,38
standard,BCwave_b1n1,1.0,1,0,eddy_heat_flux_vT,200.0,-0.38725795871333074,298.0,335.0,38
standard,BCwave_b1n1,1.0,1,0,eddy_heat_flux_vT,250.0,-0.5724631642040453,298.0,335.0,38
