ensemble,case,b,n,s,pressure_hpa,initial_zonal_wind_at_jet_core_m_s-1,initial_eady_growth_rate_day-1,initial_jet_core_latitude_deg
standard,BCwave_b1n1s-10,1.0,1,-10,10.0,0.015421387315048682,0.004777574580877901,34.5
standard,BCwave_b1n1s-10,1.0,1,-10,50.0,0.027733592654759477,0.005360991388360784,34.5
standard,BCwave_b1n1s-10,1.0,1,-10,100.0,0.40548164827956096,0.04125857619490209,34.5
standard,BCwave_b1n1s-10,1.0,1,-10,150.0,1.8105152000983555,0.13730261322630039,34.5
standard,BCwave_b1n1s-10,1.0,1,-10,200.0,4.2265584150950115,0.25045417136155956,34.5
standard,BCwave_b1n1s-10,1.0,1,-10,250.0,7.1193310737609865,0.3230450025935809,34.5
standard,BCwave_b1n1s-10,1.0,1,-10,300.0,9.922582658131917,0.3333422623668061,34.5
standard,BCwave_b1n1s-10,1.0,1,-10,400.0,13.908432602882385,0.20164067610018818,34.5
standard,BCwave_b1n1s-10,1.0,1,-10,500.0,15.054868009355333,0.0327186202818855,34.5
standard,BCwave_b1n1s-10,1.0,1,-10,600.0,13.803334069252013,0.28174430447107035,34.5
standard,BCwave_b1n1s-10,1.0,1,-10,700.0,11.00928269757165,0.47354197486248545,34.5
standard,BCwave_b1n1s-10,1.0,1,-10,850.0,5.552996310922834,0.6461477103755631,34.5
standard,BCwave_b1n1s-10,1.0,1,-10,925.0,2.7270803848902383,0.6981255973048345,34.5
standard,BCwave_b1n1s-10,1.0,1,-10,975.0,0.9020113761226336,0.7072344049497518,34.5
standard,BCwave_b1n1s-10,1.0,1,-10,1000.0,0.018406131019671396,0.7026929254602898,34.5
standard,BCwave_b1n1s-5,1.0,1,-5,10.0,0.01585532726619729,0.005368194435306569,39.5
standard,BCwave_b1n1s-5,1.0,1,-5,50.0,0.02820120322673271,0.006031788248737982,39.5
standard,BCwave_b1n1s-5,1.0,1,-5,100.0,0.40633985375364623,0.04664855036617729,39.5
standard,BCwave_b1n1s-5,1.0,1,-5,150.0,1.8118512163559595,0.15732857025492725,39.5
standard,BCwave_b1n1s-5,1.0,1,-5,200.0,4.228031876352098,0.28826458005961003,39.5
standard,BCwave_b1n1s-5,1.0,1,-5,250.0,7.1205888999833,0.3670511444056601,39.5
standard,BCwave_b1n1s-5,1.0,1,-5,300.0,9.923443407482571,0.3699795958413066,39.5
standard,BCwave_b1n1s-5,1.0,1,-5,400.0,13.90863464143541,0.21344964979118,39.5
standard,BCwave_b1n1s-5,1.0,1,-5,500.0,15.055233611000908,0.033733144752003515,39.5
standard,BCwave_b1n1s-5,1.0,1,-5,600.0,13.804270937707688,0.29186563619464845,39.5
standard,BCwave_b1n1s-5,1.0,1,-5,700.0,11.010545931922065,0.5022941856867974,39.5
standard,BCwave_b1n1s-5,1.0,1,-5,850.0,5.5541452447573345,0.714705544663369,39.5
standard,BCwave_b1n1s-5,1.0,1,-5,925.0,2.728078214989768,0.7859427689667134,39.5
standard,BCwave_b1n1s-5,1.0,1,-5,975.0,0.9028906799025006,0.8044973975565622,39.5
standard,BCwave_b1n1s-5,1.0,1,-5,1000.0,0.019336390179020984,0.8032241802830601,39.5
standard,BCwave_b1n1,1.0,1,0,10.0,0.016388493700489764,0.005918723556854737,44.5
standard,BCwave_b1n1,1.0,1,0,50.0,0.028662475425517187,0.00665803387809268,44.5
standard,BCwave_b1n1,1.0,1,0,100.0,0.4071100204355187,0.051797169307699176,44.5
standard,BCwave_b1n1,1.0,1,0,150.0,1.8130739553107156,0.17751166756455056,44.5
standard,BCwave_b1n1,1.0,1,0,200.0,4.229386005136702,0.32706743263341365,44.5
standard,BCwave_b1n1,1.0,1,0,250.0,7.121657429801093,0.40998048692108024,44.5
standard,BCwave_b1n1,1.0,1,0,300.0,9.924017506175572,0.4024495346378429,44.5
standard,BCwave_b1n1,1.0,1,0,400.0,13.90841633213891,0.22160783886556978,44.5
standard,BCwave_b1n1,1.0,1,0,500.0,15.055175752109951,0.034217071294172265,44.5
standard,BCwave_b1n1,1.0,1,0,600.0,13.804857442114088,0.2970775600466287,44.5
standard,BCwave_b1n1,1.0,1,0,700.0,11.011554604106479,0.5213718690285553,44.5
standard,BCwave_b1n1,1.0,1,0,850.0,5.555192629496257,0.7726786440014972,44.5
standard,BCwave_b1n1,1.0,1,0,925.0,2.728978473610348,0.8671899866928081,44.5
standard,BCwave_b1n1,1.0,1,0,975.0,0.9036847061581081,0.8983256612577196,44.5
standard,BCwave_b1n1,1.0,1,0,1000.0,0.020212056435088104,0.9015398210949153,44.5
standard,BCwave_b1n1s5,1.0,1,5,10.0,0.017505318534111008,0.0064244483500895235,49.5
standard,BCwave_b1n1s5,1.0,1,5,50.0,0.02983177323710859,0.007238871785106958,49.5
standard,BCwave_b1n1s5,1.0,1,5,100.0,0.4087087494631608,0.056660875582558855,49.5
standard,BCwave_b1n1s5,1.0,1,5,150.0,1.815116403500239,0.19775821542074898,49.5
