case,b,n,s,cyclonic,anticyclonic,total
BCwave_b1_u30_n1_s-10,1.0,1,-10,1290,391,1681
BCwave_b1_u30_n1_s-5,1.0,1,-5,1561,690,2251
BCwave_b1_u30_n1_s0,1.0,1,0,451,939,1390
BCwave_b1_u30_n1_s5,1.0,1,5,244,714,958
BCwave_b1_u30_n1_s10,1.0,1,10,111,715,826
BCwave_b1_u30_n3_s-10,1.0,3,-10,1591,28,1619
BCwave_b1_u30_n3_s-5,1.0,3,-5,1296,194,1490
BCwave_b1_u30_n3_s0,1.0,3,0,343,331,674
BCwave_b1_u30_n3_s5,1.0,3,5,204,375,579
BCwave_b1_u30_n3_s10,1.0,3,10,153,672,825
BCwave_b1_u30_n6_s-10,1.0,6,-10,1395,2,1397
BCwave_b1_u30_n6_s-5,1.0,6,-5,1753,113,1866
BCwave_b1_u30_n6_s0,1.0,6,0,922,295,1217
BCwave_b1_u30_n6_s5,1.0,6,5,223,234,457
BCwave_b1_u30_n6_s10,1.0,6,10,241,381,622
BCwave_b15_u30_n1_s-10,1.5,1,-10,189,107,296
BCwave_b15_u30_n1_s-5,1.5,1,-5,71,207,278
BCwave_b15_u30_n1_s0,1.5,1,0,36,298,334
BCwave_b15_u30_n1_s5,1.5,1,5,14,292,306
BCwave_b15_u30_n1_s10,1.5,1,10,16,337,353
BCwave_b15_u30_n3_s-10,1.5,3,-10,205,10,215
BCwave_b15_u30_n3_s-5,1.5,3,-5,138,75,213
BCwave_b15_u30_n3_s0,1.5,3,0,52,143,195
BCwave_b15_u30_n3_s5,1.5,3,5,30,195,225
BCwave_b15_u30_n3_s10,1.5,3,10,0,340,340
BCwave_b15_u30_n6_s-10,1.5,6,-10,157,0,157
BCwave_b15_u30_n6_s-5,1.5,6,-5,52,45,97
BCwave_b15_u30_n6_s0,1.5,6,0,29,121,150
BCwave_b15_u30_n6_s5,1.5,6,5,24,161,185
BCwave_b15_u30_n6_s10,1.5,6,10,2,175,177
BCwave_b2_u30_n1_s-10,2.0,1,-10,34,33,67
BCwave_b2_u30_n1_s-5,2.0,1,-5,0,94,94
BCwave_b2_u30_n1_s0,2.0,1,0,4,152,156
BCwave_b2_u30_n1_s5,2.0,1,5,0,193,193
BCwave_b2_u30_n1_s10,2.0,1,10,0,142,142
BCwave_b2_u30_n3_s-10,2.0,3,-10,50,0,50
BCwave_b2_u30_n3_s-5,2.0,3,-5,35,17,52
BCwave_b2_u30_n3_s0,2.0,3,0,7,48,55
BCwave_b2_u30_n3_s5,2.0,3,5,0,104,104
BCwave_b2_u30_n3_s10,2.0,3,10,0,168,168
BCwave_b2_u30_n6_s-10,2.0,6,-10,36,0,36
BCwave_b2_u30_n6_s-5,2.0,6,-5,1,0,1
BCwave_b2_u30_n6_s0,2.0,6,0,0,34,34
BCwave_b2_u30_n6_s5,2.0,6,5,0,69,69
BCwave_b2_u30_n6_s10,2.0,6,10,0,113,113
