ensemble,predictor,predictor_label,response,response_label,n,spearman_rho,p_value
constant_u0,low_level_eady_max_day-1,Low-level Eady growth,peak_eke_m2s-2,Peak 300-hPa EKE,45,0.8694334650856388,9.387079720106159e-15
constant_u0,low_level_eady_max_day-1,Low-level Eady growth,post_onset_awb_fraction,Post-onset AWB fraction,44,0.7461408625169462,6.130230652806757e-09
constant_u0,low_level_eady_max_day-1,Low-level Eady growth,eddy_minus10_coalescence_count,−10-hPa eddy-SLP coalescence count,45,0.7578420854019946,1.6649390101339743e-09
constant_u0,low_level_eady_max_day-1,Low-level Eady growth,max_anticyclone_overlap_lifetime_h,Maximum anticyclone- overlap duration,45,0.8680924775815954,1.1531149811787962e-14
constant_u0,u_max_initial_ms,Initial Umax,peak_eke_m2s-2,Peak 300-hPa EKE,45,0.9346508563899866,6.313340494700981e-21
constant_u0,u_max_initial_ms,Initial Umax,post_onset_awb_fraction,Post-onset AWB fraction,44,0.39055040572845545,0.008766135037757373
constant_u0,u_max_initial_ms,Initial Umax,eddy_minus10_coalescence_count,−10-hPa eddy-SLP coalescence count,45,0.6328308774698621,3.0960079437645876e-06
constant_u0,u_max_initial_ms,Initial Umax,max_anticyclone_overlap_lifetime_h,Maximum anticyclone- overlap duration,45,0.6364385860921246,2.6120321809328746e-06
constant_u0,rossby_penetration_theory_km,Rossby penetration H_R = fL/N,peak_eke_m2s-2,Peak 300-hPa EKE,45,0.48616600790513825,0.0007095080827858014
constant_u0,rossby_penetration_theory_km,Rossby penetration H_R = fL/N,post_onset_awb_fraction,Post-onset AWB fraction,44,0.48686089413139494,0.0008042841831381472
constant_u0,rossby_penetration_theory_km,Rossby penetration H_R = fL/N,eddy_minus10_coalescence_count,−10-hPa eddy-SLP coalescence count,45,0.7070328383155577,5.673597805101762e-08
constant_u0,rossby_penetration_theory_km,Rossby penetration H_R = fL/N,max_anticyclone_overlap_lifetime_h,Maximum anticyclone- overlap duration,45,0.5632188212429633,5.627209861226369e-05
constant_u0,positive_shear_layer_depth_hpa,Positive-shear- layer depth,peak_eke_m2s-2,Peak 300-hPa EKE,45,0.8298768897697495,1.8318336337427085e-12
constant_u0,positive_shear_layer_depth_hpa,Positive-shear- layer depth,post_onset_awb_fraction,Post-onset AWB fraction,44,0.24700016934686508,0.1060072711296125
constant_u0,positive_shear_layer_depth_hpa,Positive-shear- layer depth,eddy_minus10_coalescence_count,−10-hPa eddy-SLP coalescence count,45,0.4382562439779144,0.0026028682848435215
constant_u0,positive_shear_layer_depth_hpa,Positive-shear- layer depth,max_anticyclone_overlap_lifetime_h,Maximum anticyclone- overlap duration,45,0.4884953658609651,0.000662792230130278
constant_u0,initial_flank_shear_s-1,Initial flank shear,peak_eke_m2s-2,Peak 300-hPa EKE,45,0.5479578392621871,9.769729179638066e-05
constant_u0,initial_flank_shear_s-1,Initial flank shear,post_onset_awb_fraction,Post-onset AWB fraction,44,0.13422800352220704,0.3850242545738799
constant_u0,initial_flank_shear_s-1,Initial flank shear,eddy_minus10_coalescence_count,−10-hPa eddy-SLP coalescence count,45,0.16129378437506453,0.2898302286380483
constant_u0,initial_flank_shear_s-1,Initial flank shear,max_anticyclone_overlap_lifetime_h,Maximum anticyclone- overlap duration,45,0.3173295839322336,0.033666126335461094
constant_u0,barotropic_conversion_positive_ms-2,Positive BT conversion,peak_eke_m2s-2,Peak 300-hPa EKE,45,0.9687747035573122,1.1296242548628316e-27
constant_u0,barotropic_conversion_positive_ms-2,Positive BT conversion,post_onset_awb_fraction,Post-onset AWB fraction,44,0.7250587241106337,2.604774837481963e-08
constant_u0,barotropic_conversion_positive_ms-2,Positive BT conversion,eddy_minus10_coalescence_count,−10-hPa eddy-SLP coalescence count,45,0.8101517397849436,1.5696714266163025e-11
