case,b,n,s,initial_time_hour,initial_time_day,initial_u_max_300_ms,initial_jet_latitude_300_degN,initial_max_abs_dtheta850_dy_K_per_1000km,initial_max_abs_dtheta850_dy_latitude_degN,day8_time_hour,day8_time_day,day8_u_max_300_ms,day8_jet_latitude_300_degN,day8_max_abs_dtheta850_dy_K_per_1000km,day8_max_abs_dtheta850_dy_latitude_degN,day15_time_hour,day15_time_day,day15_u_max_300_ms,day15_jet_latitude_300_degN,day15_max_abs_dtheta850_dy_K_per_1000km,day15_max_abs_dtheta850_dy_latitude_degN,day8_delta_u_max_300_ms,day8_delta_jet_latitude_300_deg,day8_delta_max_abs_dtheta850_dy_K_per_1000km,day15_delta_u_max_300_ms,day15_delta_jet_latitude_300_deg,day15_delta_max_abs_dtheta850_dy_K_per_1000km,analysis_max_abs_u_max_300_change_ms,analysis_max_abs_jet_latitude_300_change_deg,fixed_b_n_group,day15_jet_latitude_strict_s_order_retained,fixed_n_s_group,day15_u_max_300_strict_b_order_retained
BCwave_b1n1s-10,1.0,1,-10,1.0,0.0416666666666666,9.922582658131915,34.5,10.163475127099872,44.5,192.0,8.0,9.88859530289968,34.5,10.172064723839702,44.5,360.0,15.0,10.203279425038232,35.5,10.902764240615804,55.5,-0.03398735523223628,0.0,0.00858959673982973,0.28069676690631695,1.0,0.7392891135159321,0.28069676690631695,1.0,"b=1, n=1",True,"n=1, s=-10",True
BCwave_b1n1s-5,1.0,1,-5,1.0,0.0416666666666666,9.923443407482573,39.5,11.45500531162186,48.5,192.0,8.0,9.888896142111884,39.5,11.469840145356992,48.5,360.0,15.0,9.962043444977866,40.5,11.769097806474306,62.5,-0.03454726537068886,0.0,0.01483483373513117,0.03860003749529284,1.0,0.3140924948524457,0.10889488392405866,1.0,"b=1, n=1",True,"n=1, s=-5",True
BCwave_b1n1,1.0,1,0,1.0,0.0416666666666666,9.924017506175572,44.5,12.657234996096705,53.5,192.0,8.0,9.876799366209244,44.5,12.695633620134943,53.5,360.0,15.0,10.41718223552323,49.5,13.409450632119976,68.5,-0.0472181399663274,0.0,0.03839862403823879,0.493164729347658,5.0,0.752215636023271,0.493164729347658,5.0,"b=1, n=1",True,"n=1, s=0",True
BCwave_b1n1s5,1.0,1,5,1.0,0.0416666666666666,9.925054364734226,49.5,13.71815820731142,54.5,192.0,8.0,9.873058989312913,49.5,13.619714664331058,58.5,360.0,15.0,11.07164653937022,52.5,12.894273685022837,53.5,-0.05199537542131338,0.0,-0.09844354298036251,1.1465921746359946,3.0,-0.8238845222885836,1.1465921746359946,4.0,"b=1, n=1",True,"n=1, s=5",True
BCwave_b1n1s10,1.0,1,10,1.0,0.0416666666666666,9.925867001215616,54.5,14.70815165845532,60.5,192.0,8.0,9.861691064304775,54.5,14.34188088733526,64.5,360.0,15.0,10.887060406472948,58.5,13.960311481791026,57.5,-0.064175936910841,0.0,-0.36627077112006035,0.9611934052573314,4.0,-0.7478401766642939,0.9611934052573314,5.0,"b=1, n=1",True,"n=1, s=10",True
BCwave_b1n3s-10,1.0,3,-10,1.0,0.0416666666666666,9.907719747225444,34.5,9.261487207743109,38.5,192.0,8.0,9.877740115589566,34.5,9.25159106270122,38.5,360.0,15.0,10.031446668836804,34.5,8.035660190771612,33.5,-0.02997963163587869,0.0,-0.00989614504188907,0.12372692161135923,0.0,-1.2258270169714969,0.12372692161135923,0.0,"b=1, n=3",True,"n=3, s=-10",True
BCwave_b1n3s-5,1.0,3,-5,1.0,0.0416666666666666,9.909568595886231,39.5,10.580531973797964,43.5,192.0,8.0,9.880317870775858,39.5,10.541523201285877,44.5,360.0,15.0,10.134220688872867,39.5,8.81497552333876,36.5,-0.029250725110372855,0.0,-0.03900877251208712,0.22465209298663602,0.0,-1.7655564504592043,0.22465209298663602,0.0,"b=1, n=3",True,"n=3, s=-5",True
BCwave_b1n3,1.0,3,0,1.0,0.0416666666666666,9.91044041050805,44.5,11.98871392136115,48.5,192.0,8.0,9.86814787917667,44.5,11.77342215391954,48.5,360.0,15.0,9.922772102223504,45.5,9.817537314280164,46.5,-0.042292531331380445,0.0,-0.2152917674416095,0.01233169171545434,1.0,-2.1711766070809855,0.10623479684193704,1.0,"b=1, n=3",True,"n=3, s=0",True
BCwave_b1n3s5,1.0,3,5,1.0,0.0416666666666666,9.912292128139072,49.5,13.254177029727986,52.5,192.0,8.0,9.871706239382426,49.5,12.789683135756324,53.5,360.0,15.0,9.79355569127947,52.5,10.556172355020989,51.5,-0.04058588875664526,0.0,-0.4644938939716621,-0.11873643685960111,3.0,-2.698004674706997,0.22856818690068081,3.0,"b=1, n=3",True,"n=3, s=5",True
BCwave_b1n3s10,1.0,3,10,1.0,0.0416666666666666,9.91251691977183,54.5,14.317131140901976,56.5,192.0,8.0,9.864657486809625,54.5,13.60638523618886,55.5,360.0,15.0,10.4337607966529,59.5,11.142494291265049,51.5,-0.04785943296220552,0.0,-0.7107459047131162,0.5212438768810692,5.0,-3.1746368496369275,0.5212438768810692,5.0,"b=1, n=3",True,"n=3, s=10",True
