case,b,n,s,mode,threshold_hpa,time_index,time_hour,target_id,n_source_ids,source_ids,source_1_id,source_2_id,source_1_overlap_pixels,source_2_overlap_pixels,child_area_km2,child_equivalent_radius_km,child_centroid_lat,child_centroid_lon,child_meridional_extent_km,child_zonal_extent_km,child_minimum_hpa,child_mean_hpa,child_touches_south_boundary,child_touches_north_boundary,child_touches_longitude_seam,parent_1_area_km2,parent_1_equivalent_radius_km,parent_1_centroid_lat,parent_1_centroid_lon,parent_1_meridional_extent_km,parent_1_zonal_extent_km,parent_1_minimum_hpa,parent_1_mean_hpa,parent_1_touches_south_boundary,parent_1_touches_north_boundary,parent_1_touches_longitude_seam,parent_2_area_km2,parent_2_equivalent_radius_km,parent_2_centroid_lat,parent_2_centroid_lon,parent_2_meridional_extent_km,parent_2_zonal_extent_km,parent_2_minimum_hpa,parent_2_mean_hpa,parent_2_touches_south_boundary,parent_2_touches_north_boundary,parent_2_touches_longitude_seam,full_event_index,partition,matched_eddy_event,track_target_distance_deg,primary_track_id,secondary_track_id,primary_first_time_index,secondary_first_time_index,primary_marker_lat,primary_marker_lon,secondary_marker_lat,secondary_marker_lon,track_target_lat,track_target_lon,selection_rule,available_minus24,available_plus24,available_plus48,atlas_event_id,page,row_on_page,hemisphere
BCwave_b1n1s-10,1.0,1,-10,full,990.0,336,337,1.0,2.0,1;2,1.0,2.0,219.0,75.0,2504154.100491621,892.8028935404279,47.94588388864242,94.31417249316851,1334.34,3053.7617021187266,973.1395874023438,982.8225708007812,False,False,False,1783151.4209536235,753.3888277989079,49.0169586159646,99.8892939266094,1223.145,1750.2153984680365,973.1715698242188,981.6162109375,False,False,False,662721.8110657248,459.2939192410961,45.09661889357047,78.3604626538996,555.9749999999999,1412.8926683943596,980.5792846679688,986.033935546875,False,False,False,0,full_field_only_zonalization_signature,False,0.0,1,2,246,284,49.016958615964604,99.8892939266094,45.09661889357047,78.3604626538996,47.94588388864242,94.31417249316851,first NH primary-track coalescence; exact 2-to-1 only,True,False,False,1,1,1,NH
BCwave_b15n1s-10,1.5,1,-10,full,990.0,316,317,1.0,2.0,1;3,1.0,3.0,356.0,149.0,3988024.499226159,1126.6887877523443,50.94641355183205,106.79750284356116,1667.925,3432.8454553203587,960.8211059570312,977.995361328125,False,False,False,2711367.555077765,929.0075876219884,52.01197845097387,114.75633858511078,1667.925,1984.7645680795777,961.0147705078124,976.0836181640624,False,False,False,1228436.5271330858,625.3187116469038,48.37881222448723,88.85748175609946,889.56,1477.1203852522794,972.7251586914062,982.707275390625,False,False,False,0,full_field_only_zonalization_signature,False,7.105427357601002e-15,1,2,228,260,52.01197845097387,114.75633858511078,48.378812224487206,88.85748175609946,50.94641355183206,106.79750284356116,first NH primary-track coalescence; exact 2-to-1 only,True,True,False,2,1,2,NH
BCwave_b2n1s-10,2.0,1,-10,full,990.0,310,311,1.0,2.0,1;3,1.0,3.0,465.0,193.0,5015041.5191538185,1263.46242333076,52.90789911624095,116.79438321643414,1890.315,3688.38165449176,951.7003173828124,974.6688842773438,False,False,False,3343957.6117881835,1031.704786657364,53.98451689904223,125.76987382892978,1890.315,2157.6419160311266,952.008544921875,971.9884643554688,False,False,False,1544647.2263655534,701.1964652068116,50.42030359876775,96.28293156784486,1111.9499999999998,1558.6558924756598,967.714111328125,980.6513061523438,False,False,False,0,full_field_only_zonalization_signature,False,0.0,1,2,220,253,53.98451689904224,125.76987382892978,50.42030359876772,96.28293156784488,52.90789911624095,116.79438321643414,first NH primary-track coalescence; exact 2-to-1 only,True,True,True,3,1,3,NH
BCwave_b1n1s-5,1.0,1,-5,full,990.0,311,312,1.0,2.0,1;3,1.0,3.0,262.0,116.0,2861918.71463,954.451161831309,53.12198218070128,95.74544474380448,1445.535,3002.8322929031497,968.7601318359376,980.5823364257812,False,False,False,1882081.395354624,774.0058880550977,54.46298616839165,103.0761719025702,1334.34,1680.3730424396103,968.9140014648438,979.2880859375,False,False,False,943793.9008326508,548.1048523366645,50.4081672693559,80.26888543206306,667.17,1488.1890848415867,975.3482666015624,983.6157836914062,False,False,False,0,local_wave_scale_coalescence,True,0.0,1,2,225,259,54.46298616839167,103.0761719025702,50.40816726935591,80.26888543206306,53.12198218070128,95.74544474380448,first NH primary-track coalescence; exact 2-to-1 only,True,True,True,4,1,4,NH
BCwave_b15n1s-5,1.5,1,-5,full,990.0,284,285,2.0,2.0,2;3,2.0,3.0,394.0,183.0,4164434.9726601634,1151.338708707066,55.67160037277445,108.26651522644276,1890.315,3323.460521454921,955.8696899414062,975.7634887695312,False,False,False,2624281.730306255,913.9665305075374,56.94865192268282,117.46660073657918,1667.925,1879.98534409902,956.1318969726562,973.3648071289062,False,False,False,1392387.3272991683,665.7406790007283,52.989203123324266,89.8347689769784,1111.9499999999998,1405.6466483178488,966.8699340820312,980.1703491210938,False,False,False,0,local_wave_scale_coalescence,True,7.105427357601002e-15,1,2,205,233,56.948651922682814,117.46660073657918,52.989203123324245,89.8347689769784,55.67160037277444,108.26651522644276,first NH primary-track coalescence; exact 2-to-1 only,True,True,True,5,1,5,NH
BCwave_b15n3s-5,1.5,3,-5,full,990.0,328,329,2.0,2.0,2;3,2.0,3.0,356.0,116.0,3760053.568041543,1094.0119849838295,50.71617778045633,112.4140059328663,1779.12,3449.819884178998,967.2913208007812,980.47998046875,False,False,False,2709895.21324843,928.7553159466204,51.666603995219226,119.21052859682403,1779.12,2000.0482448870696,967.3881225585938,979.1400756835938,False,False,False,990109.4016828012,561.3925640397756,48.03210127453206,92.86461210794462,778.365,1412.7957017114682,976.4129028320312,984.2843627929688,False,False,False,0,full_field_only_zonalization_signature,False,2.131628207280301e-14,1,2,216,245,51.666603995219226,119.21052859682403,48.03210127453207,92.86461210794462,50.71617778045635,112.4140059328663,first NH primary-track coalescence; exact 2-to-1 only,True,True,False,6,1,6,NH
BCwave_b15n6s-5,1.5,6,-5,full,990.0,356,357,1.0,2.0,1;2,1.0,2.0,287.0,75.0,2971405.0180036863,972.536679558513,49.575579602091466,112.28484446416697,1445.535,3172.5662114650763,974.2134399414062,983.196044921875,False,False,False,2263212.932880664,848.7656043189588,50.400473169753,117.48534295737448,1445.535,1984.5742835378744,974.189697265625,982.2757568359376,False,False,False,659650.9620795569,458.2285703233396,46.76932073545343,93.5430571364017,667.17,1142.424107938954,982.1557006835938,986.359375,False,False,False,0,full_field_only_zonalization_signature,False,0.0,1,2,227,263,50.40047316975299,117.48534295737448,46.76932073545346,93.5430571364017,49.575579602091466,112.28484446416697,first NH primary-track coalescence; exact 2-to-1 only,True,False,False,7,1,7,NH
BCwave_b2n1s-5,2.0,1,-5,full,990.0,273,274,1.0,2.0,1;3,1.0,3.0,504.0,229.0,5042855.934924708,1266.9612853939686,57.15378053826861,118.37834603860142,2112.705,3618.63736821237,946.310791015625,972.6121826171876,False,False,False,3253982.679615956,1017.7302473605572,58.14268004424008,128.85324322178778,2112.705,2054.127741284356,946.6546630859376,969.9287719726562,False,False,False,1650838.5387527146,724.8987704350118,54.90647662847819,96.6074192041952,1334.34,1470.3307752514104,961.1500854492188,978.3363647460938,False,False,False,0,full_field_only_zonalization_signature,False,7.105427357601002e-15,1,2,195,223,58.1426800442401,128.85324322178775,54.906476628478174,96.6074192041952,57.153780538268606,118.37834603860142,first NH primary-track coalescence; exact 2-to-1 only,True,True,True,8,1,8,NH
BCwave_b2n3s-5,2.0,3,-5,full,990.0,320,321,1.0,2.0,1;2,1.0,2.0,441.0,181.0,4821709.134237941,1238.869519251573,51.82339170319907,119.08130849464116,2001.51,3711.324985219365,960.2937622070312,977.8824462890624,False,False,False,3296860.264483883,1024.413595942443,52.660015472306206,127.92642261502624,2001.51,2158.2269274871337,960.4347534179688,976.105712890625,False,False,False,1472952.3306251331,684.7300845701432,49.71943457703323,98.4682420194638,1111.9499999999998,1581.602435515645,971.2199096679688,982.1846923828124,False,False,False,0,full_field_only_zonalization_signature,False,1.4210854715202004e-14,1,2,209,237,52.6600154723062,127.92642261502624,49.71943457703323,98.4682420194638,51.82339170319906,119.08130849464116,first NH primary-track coalescence; exact 2-to-1 only,True,True,False,9,2,1,NH
BCwave_b2n6s-5,2.0,6,-5,full,990.0,349,350,1.0,2.0,1;2,1.0,2.0,361.0,115.0,3834185.9873795146,1104.7439998706752,50.32380129409894,118.33360026299177,1667.925,3478.6198349206547,969.010498046875,981.1826782226562,False,False,False,2779044.865236361,940.5304113919092,51.19690894141214,125.13978086139072,1667.925,2160.076461500564,969.0328979492188,979.8575439453124,False,False,False,1003970.6641518855,565.3085775380129,47.726919390529154,98.02763484237258,889.56,1346.345597828286,978.56396484375,984.9440307617188,False,False,False,0,full_field_only_zonalization_signature,False,7.105427357601002e-15,1,2,220,255,51.19690894141213,125.13978086139068,47.72691939052916,98.02763484237258,50.32380129409895,118.33360026299177,first NH primary-track coalescence; exact 2-to-1 only,True,False,False,10,2,2,NH
