case,b,n,s,definition_id,method,eddy_threshold_hpa,criterion_value,minimum_area_km2,minimum_duration_h,selected_track_id,maximum_qualifying_persistence_h,number_qualifying_tracks,number_qualifying_episodes,selected_track_duration_h,mean_qualifying_object_area_km2,maximum_qualifying_object_area_km2,maximum_peak_eddy_slp_anomaly_hpa,start_hour,end_hour,mean_centroid_path_speed_m_s-1,net_centroid_speed_m_s-1,mean_step_displacement_km,mean_normalized_step,source_file
BCwave_b1n1s-10,1.0,1,-10,S20_plus10_overlap0.3_identity,independent_permissive_overlap_identity,10,0.3,100000.0,0,1.0,27,0,0,27,604385.8616806099,1176949.852961791,12.142798828124942,334,360,4.887905627511647,4.109438495116401,17.59646025904193,0.047200470866735594,/data/keeling/a/mingfei5/a/data/original/BCwave_b1n1s-10.nc
BCwave_b1n3s-10,1.0,3,-10,S20_plus10_overlap0.3_identity,independent_permissive_overlap_identity,10,0.3,100000.0,0,,0,0,0,0,,,,0,0,,,,,/data/keeling/a/mingfei5/a/data/original/BCwave_b1n3s-10.nc
BCwave_b1n6s-10,1.0,6,-10,S20_plus10_overlap0.3_identity,independent_permissive_overlap_identity,10,0.3,100000.0,0,,0,0,0,0,,,,0,0,,,,,/data/keeling/a/mingfei5/a/data/original/BCwave_b1n6s-10.nc
BCwave_b15n1s-10,1.5,1,-10,S20_plus10_overlap0.3_identity,independent_permissive_overlap_identity,10,0.3,100000.0,0,1.0,97,1,1,97,2243598.3532246463,4636271.028420884,17.603288194444467,264,360,6.799192065711984,6.006131165537089,24.477091436563143,0.03639784451598834,/data/keeling/a/mingfei5/a/data/original/BCwave_b15n1s-10.nc
BCwave_b15n3s-10,1.5,3,-10,S20_plus10_overlap0.3_identity,independent_permissive_overlap_identity,10,0.3,100000.0,0,1.0,10,0,0,10,235743.16091661528,375246.4461651578,11.273686197916685,351,360,7.715413777583096,5.819776637064335,27.77548959929915,0.1049562552093169,/data/keeling/a/mingfei5/a/data/original/BCwave_b15n3s-10.nc
BCwave_b15n6s-10,1.5,6,-10,S20_plus10_overlap0.3_identity,independent_permissive_overlap_identity,10,0.3,100000.0,0,,0,0,0,0,,,,0,0,,,,,/data/keeling/a/mingfei5/a/data/original/BCwave_b15n6s-10.nc
BCwave_b2n1s-10,2.0,1,-10,S20_plus10_overlap0.3_identity,independent_permissive_overlap_identity,10,0.3,100000.0,0,1.0,98,1,1,98,3155493.341948072,7067517.862192997,20.23714257812506,247,344,18.67499619821357,4.918740642578604,67.22998631356884,0.07825136891554875,/data/keeling/a/mingfei5/a/data/original/BCwave_b2n1s-10.nc
BCwave_b2n3s-10,2.0,3,-10,S20_plus10_overlap0.3_identity,independent_permissive_overlap_identity,10,0.3,100000.0,0,1.0,59,0,0,59,864262.3937701295,1262122.1553114236,12.093832031250058,302,360,7.0954164177951435,5.977288548892959,25.543499104062516,0.05654414601813311,/data/keeling/a/mingfei5/a/data/original/BCwave_b2n3s-10.nc
BCwave_b2n6s-10,2.0,6,-10,S20_plus10_overlap0.3_identity,independent_permissive_overlap_identity,10,0.3,100000.0,0,,0,0,0,0,,,,0,0,,,,,/data/keeling/a/mingfei5/a/data/original/BCwave_b2n6s-10.nc
BCwave_b1n1s-5,1.0,1,-5,S20_plus10_overlap0.3_identity,independent_permissive_overlap_identity,10,0.3,100000.0,0,1.0,81,2,2,81,1505072.8298403637,2901240.8242272297,16.68157183159725,280,360,5.390570805639898,4.693613599914926,19.406054900303634,0.03772023854615699,/data/keeling/a/mingfei5/a/data/original/BCwave_b1n1s-5.nc
