definition_id,method,eddy_threshold_hpa,criterion_value,spearman_rho_b,spearman_rho_n,spearman_rho_s,ranking_b,ranking_n,ranking_s,n_cases_positive_duration,direction_agrees_with_baseline_b,ranking_agrees_with_baseline_b,direction_agrees_with_baseline_n,ranking_agrees_with_baseline_n,direction_agrees_with_baseline_s,ranking_agrees_with_baseline_s
O_plus5_o0.6,contour_overlap,5,0.6,0.4244807314576902,-0.2735542491616227,0.8380927887246317,2>1.5>1,1>3>6,10>5>0>-5>-10,44,True,True,True,True,True,True
O_plus5_o0.8,contour_overlap,5,0.8,0.4244947211003226,-0.27251512959526886,0.8381204098102032,2>1.5>1,1>3>6,10>5>0>-5>-10,43,True,True,True,True,True,True
O_plus5_o0.9,contour_overlap,5,0.9,0.4244947211003226,-0.27251512959526886,0.8381204098102032,2>1.5>1,1>3>6,10>5>0>-5>-10,43,True,True,True,True,True,True
O_plus10_o0.6,contour_overlap,10,0.6,0.4688721671048406,-0.37764364590344623,0.7343291013581674,2>1.5>1,1>3>6,10>5>0>-5>-10,32,True,True,True,True,True,True
O_plus10_o0.8,contour_overlap,10,0.8,0.4688721671048406,-0.37764364590344623,0.7343291013581674,2>1.5>1,1>3>6,10>5>0>-5>-10,32,True,True,True,True,True,True
O_plus10_o0.9,contour_overlap,10,0.9,0.47416014413912433,-0.3808131806396994,0.7263427145710295,2>1.5>1,1>3>6,10>5>0>-5>-10,32,True,True,True,True,True,True
O_plus15_o0.6,contour_overlap,15,0.6,0.4662385008712349,-0.44206317119643007,0.596190327936207,2>1.5>1,1>3>6,10>5>0>-5>-10,20,True,True,True,True,True,True
O_plus15_o0.8,contour_overlap,15,0.8,0.4662385008712349,-0.44206317119643007,0.596190327936207,2>1.5>1,1>3>6,10>5>0>-5>-10,20,True,True,True,True,True,True
O_plus15_o0.9,contour_overlap,15,0.9,0.46621996514057884,-0.44319675698548855,0.5935081347686756,2>1.5>1,1>3>6,10>5>0>-5>-10,20,True,True,True,True,True,True
M_plus5_m0.20,size_normalized_mobility,5,0.2,0.7475914124472135,0.19502384672536005,0.040559159769644935,2>1.5>1,6>1>3,-5>0>5>10>-10,43,True,True,False,False,True,False
M_plus5_m0.30,size_normalized_mobility,5,0.3,0.7475667569581167,0.1960658955836856,0.038741800246124815,2>1.5>1,6>1>3,-5>0>5>10>-10,43,True,True,False,False,True,False
M_plus5_m0.40,size_normalized_mobility,5,0.4,0.7475667569581167,0.1960658955836856,0.038741800246124815,2>1.5>1,6>1>3,-5>0>5>10>-10,43,True,True,False,False,True,False
M_plus10_m0.20,size_normalized_mobility,10,0.2,0.14379125159453737,-0.16722390000253604,0.43907254311160465,2>1.5>1,1>3>6,10>0>5>-5>-10,31,True,True,True,True,True,False
M_plus10_m0.30,size_normalized_mobility,10,0.3,0.05430081421769035,-0.23743297197146956,0.5077566097449077,2>1.5>1,1>3>6,10>0>5>-5>-10,31,True,True,True,True,True,False
M_plus10_m0.40,size_normalized_mobility,10,0.4,0.0700480659909131,-0.308848290959935,0.5539365433255148,1.5>2>1,1>3>6,10>5>0>-5>-10,32,True,False,True,True,True,True
M_plus15_m0.20,size_normalized_mobility,15,0.2,0.4765993564461513,-0.35917632659709947,0.5549820778447412,2>1.5>1,1>3>6,10>5>0>-5>-10,20,True,True,True,True,True,True
M_plus15_m0.30,size_normalized_mobility,15,0.3,0.4720508388781211,-0.3592191749511555,0.5603661129526069,2>1.5>1,1>3>6,10>5>0>-5>-10,20,True,True,True,True,True,True
M_plus15_m0.40,size_normalized_mobility,15,0.4,0.48926262437104906,-0.3914100994968392,0.5789094488655923,2>1.5>1,1>3>6,10>5>0>-5>-10,20,True,True,True,True,True,True
