definition_id,method,eddy_threshold_hpa,criterion_value,parameter,category,n_cases,mean_maximum_persistence_h,median_maximum_persistence_h,minimum_maximum_persistence_h,maximum_maximum_persistence_h
O_plus5_o0.6,contour_overlap,5,0.6,b,1.0,15,129.2,142.0,0.0,179.0
O_plus5_o0.6,contour_overlap,5,0.6,b,1.5,15,162.0,171.0,78.0,210.0
O_plus5_o0.6,contour_overlap,5,0.6,b,2.0,15,173.8,181.0,92.0,223.0
O_plus5_o0.6,contour_overlap,5,0.6,n,1.0,15,171.33333333333334,172.0,109.0,223.0
O_plus5_o0.6,contour_overlap,5,0.6,n,3.0,15,156.53333333333333,162.0,72.0,216.0
O_plus5_o0.6,contour_overlap,5,0.6,n,6.0,15,137.13333333333333,150.0,0.0,208.0
O_plus5_o0.6,contour_overlap,5,0.6,s,-10.0,9,95.22222222222223,105.0,0.0,148.0
O_plus5_o0.6,contour_overlap,5,0.6,s,-5.0,9,135.66666666666666,135.0,89.0,172.0
O_plus5_o0.6,contour_overlap,5,0.6,s,0.0,9,162.88888888888889,168.0,125.0,192.0
O_plus5_o0.6,contour_overlap,5,0.6,s,5.0,9,183.11111111111111,190.0,150.0,210.0
O_plus5_o0.6,contour_overlap,5,0.6,s,10.0,9,198.11111111111111,205.0,168.0,223.0
O_plus5_o0.8,contour_overlap,5,0.8,b,1.0,15,124.4,142.0,0.0,179.0
O_plus5_o0.8,contour_overlap,5,0.8,b,1.5,15,162.0,171.0,78.0,210.0
O_plus5_o0.8,contour_overlap,5,0.8,b,2.0,15,173.8,181.0,92.0,223.0
O_plus5_o0.8,contour_overlap,5,0.8,n,1.0,15,171.33333333333334,172.0,109.0,223.0
O_plus5_o0.8,contour_overlap,5,0.8,n,3.0,15,151.73333333333332,162.0,0.0,216.0
O_plus5_o0.8,contour_overlap,5,0.8,n,6.0,15,137.13333333333333,150.0,0.0,208.0
O_plus5_o0.8,contour_overlap,5,0.8,s,-10.0,9,87.22222222222223,105.0,0.0,148.0
O_plus5_o0.8,contour_overlap,5,0.8,s,-5.0,9,135.66666666666666,135.0,89.0,172.0
O_plus5_o0.8,contour_overlap,5,0.8,s,0.0,9,162.88888888888889,168.0,125.0,192.0
O_plus5_o0.8,contour_overlap,5,0.8,s,5.0,9,183.11111111111111,190.0,150.0,210.0
O_plus5_o0.8,contour_overlap,5,0.8,s,10.0,9,198.11111111111111,205.0,168.0,223.0
O_plus5_o0.9,contour_overlap,5,0.9,b,1.0,15,124.4,142.0,0.0,179.0
O_plus5_o0.9,contour_overlap,5,0.9,b,1.5,15,161.8,171.0,75.0,210.0
O_plus5_o0.9,contour_overlap,5,0.9,b,2.0,15,173.8,181.0,92.0,223.0
O_plus5_o0.9,contour_overlap,5,0.9,n,1.0,15,171.33333333333334,172.0,109.0,223.0
O_plus5_o0.9,contour_overlap,5,0.9,n,3.0,15,151.73333333333332,162.0,0.0,216.0
O_plus5_o0.9,contour_overlap,5,0.9,n,6.0,15,136.93333333333334,150.0,0.0,208.0
O_plus5_o0.9,contour_overlap,5,0.9,s,-10.0,9,86.88888888888889,105.0,0.0,148.0
O_plus5_o0.9,contour_overlap,5,0.9,s,-5.0,9,135.66666666666666,135.0,89.0,172.0
O_plus5_o0.9,contour_overlap,5,0.9,s,0.0,9,162.88888888888889,168.0,125.0,192.0
O_plus5_o0.9,contour_overlap,5,0.9,s,5.0,9,183.11111111111111,190.0,150.0,210.0
O_plus5_o0.9,contour_overlap,5,0.9,s,10.0,9,198.11111111111111,205.0,168.0,223.0
O_plus10_o0.6,contour_overlap,10,0.6,b,1.0,15,53.0,0.0,0.0,143.0
O_plus10_o0.6,contour_overlap,10,0.6,b,1.5,15,108.8,128.0,0.0,181.0
O_plus10_o0.6,contour_overlap,10,0.6,b,2.0,15,127.53333333333333,143.0,0.0,197.0
O_plus10_o0.6,contour_overlap,10,0.6,n,1.0,15,132.13333333333333,143.0,0.0,197.0
O_plus10_o0.6,contour_overlap,10,0.6,n,3.0,15,91.4,109.0,0.0,186.0
