ensemble,case,b,n,s,eke_peak_25_90N_area_mass_weighted_m2_s-2,eke_peak_time_h,new_25_90N_window_start_h,new_25_90N_window_end_h,new_25_90N_window_count,latitude_requested_min_deg,latitude_requested_max_deg,latitude_grid_min_deg,latitude_grid_max_deg,old_0_90N_window_start_h,old_0_90N_window_end_h,old_0_90N_window_count,start_shift_h,end_shift_h
standard,BCwave_b1n1s-10,1.0,1,-10,7.671709965904847,360.0,312.0,340.0,29,25.0,90.0,25.5,89.5,314.0,342.0,29,-2.0,-2.0
standard,BCwave_b1n1s-5,1.0,1,-5,11.751331820926913,360.0,305.0,340.0,36,25.0,90.0,25.5,89.5,307.0,341.0,35,-2.0,-1.0
standard,BCwave_b1n1,1.0,1,0,14.31320282319816,360.0,297.0,334.0,38,25.0,90.0,25.5,89.5,298.0,335.0,38,-1.0,-1.0
standard,BCwave_b1n1s5,1.0,1,5,15.42560343260557,360.0,291.0,332.0,42,25.0,90.0,25.5,89.5,292.0,332.0,41,-1.0,0.0
standard,BCwave_b1n1s10,1.0,1,10,15.187404042787778,360.0,285.0,335.0,51,25.0,90.0,25.5,89.5,286.0,335.0,50,-1.0,0.0
standard,BCwave_b1n3s-10,1.0,3,-10,3.1473130644197385,360.0,316.0,343.0,28,25.0,90.0,25.5,89.5,316.0,343.0,28,0.0,0.0
standard,BCwave_b1n3s-5,1.0,3,-5,4.839441262009589,360.0,303.0,336.0,34,25.0,90.0,25.5,89.5,304.0,337.0,34,-1.0,-1.0
standard,BCwave_b1n3,1.0,3,0,6.439011536031772,360.0,297.0,338.0,42,25.0,90.0,25.5,89.5,297.0,338.0,42,0.0,0.0
standard,BCwave_b1n3s5,1.0,3,5,8.035488815098773,360.0,300.0,338.0,39,25.0,90.0,25.5,89.5,300.0,338.0,39,0.0,0.0
standard,BCwave_b1n3s10,1.0,3,10,7.726540375737328,360.0,291.0,325.0,35,25.0,90.0,25.5,89.5,291.0,325.0,35,0.0,0.0
standard,BCwave_b1n6s-10,1.0,6,-10,1.7816808275052962,360.0,320.0,346.0,27,25.0,90.0,25.5,89.5,321.0,346.0,26,-1.0,0.0
standard,BCwave_b1n6s-5,1.0,6,-5,3.064498271230373,360.0,310.0,339.0,30,25.0,90.0,25.5,89.5,310.0,340.0,31,0.0,-1.0
standard,BCwave_b1n6,1.0,6,0,4.1091151608214,360.0,300.0,337.0,38,25.0,90.0,25.5,89.5,300.0,337.0,38,0.0,0.0
standard,BCwave_b1n6s5,1.0,6,5,4.982431655628252,360.0,294.0,337.0,44,25.0,90.0,25.5,89.5,294.0,337.0,44,0.0,0.0
