ensemble,case,b,n,s,variable,pressure_hpa,value,window_start_h,window_end_h,window_count,eke_domain,jet_relative_half_width_deg
standard,BCwave_b1n1s-10,1.0,1,-10,eddy_heat_flux_vT,10.0,0.00015493463785066429,312.0,340.0,29,25–90°N area–mass weighted,15.0
standard,BCwave_b1n1s-10,1.0,1,-10,eddy_heat_flux_vT,50.0,0.0010969442945648112,312.0,340.0,29,25–90°N area–mass weighted,15.0
standard,BCwave_b1n1s-10,1.0,1,-10,eddy_heat_flux_vT,100.0,0.005828090951424734,312.0,340.0,29,25–90°N area–mass weighted,15.0
standard,BCwave_b1n1s-10,1.0,1,-10,eddy_heat_flux_vT,150.0,0.0027922591925116963,312.0,340.0,29,25–90°N area–mass weighted,15.0
standard,BCwave_b1n1s-10,1.0,1,-10,eddy_heat_flux_vT,200.0,-0.035740344624581005,312.0,340.0,29,25–90°N area–mass weighted,15.0
standard,BCwave_b1n1s-10,1.0,1,-10,eddy_heat_flux_vT,250.0,-0.06082306519664567,312.0,340.0,29,25–90°N area–mass weighted,15.0
standard,BCwave_b1n1s-10,1.0,1,-10,eddy_heat_flux_vT,300.0,0.048520490077549015,312.0,340.0,29,25–90°N area–mass weighted,15.0
standard,BCwave_b1n1s-10,1.0,1,-10,eddy_heat_flux_vT,400.0,0.5138347960751632,312.0,340.0,29,25–90°N area–mass weighted,15.0
standard,BCwave_b1n1s-10,1.0,1,-10,eddy_heat_flux_vT,500.0,1.122513351769283,312.0,340.0,29,25–90°N area–mass weighted,15.0
standard,BCwave_b1n1s-10,1.0,1,-10,eddy_heat_flux_vT,600.0,1.789919766886481,312.0,340.0,29,25–90°N area–mass weighted,15.0
standard,BCwave_b1n1s-10,1.0,1,-10,eddy_heat_flux_vT,700.0,2.418263344929136,312.0,340.0,29,25–90°N area–mass weighted,15.0
standard,BCwave_b1n1s-10,1.0,1,-10,eddy_heat_flux_vT,850.0,3.9114010087374984,312.0,340.0,29,25–90°N area–mass weighted,15.0
standard,BCwave_b1n1s-10,1.0,1,-10,eddy_heat_flux_vT,925.0,5.467452970044366,312.0,340.0,29,25–90°N area–mass weighted,15.0
standard,BCwave_b1n1s-10,1.0,1,-10,eddy_heat_flux_vT,975.0,6.262660552715433,312.0,340.0,29,25–90°N area–mass weighted,15.0
standard,BCwave_b1n1s-10,1.0,1,-10,eddy_heat_flux_vT,1000.0,6.235817613272832,312.0,340.0,29,25–90°N area–mass weighted,15.0
standard,BCwave_b1n1s-5,1.0,1,-5,eddy_heat_flux_vT,10.0,0.00031426851799349405,305.0,340.0,36,25–90°N area–mass weighted,15.0
standard,BCwave_b1n1s-5,1.0,1,-5,eddy_heat_flux_vT,50.0,0.002903318640569018,305.0,340.0,36,25–90°N area–mass weighted,15.0
standard,BCwave_b1n1s-5,1.0,1,-5,eddy_heat_flux_vT,100.0,0.014649214352377586,305.0,340.0,36,25–90°N area–mass weighted,15.0
standard,BCwave_b1n1s-5,1.0,1,-5,eddy_heat_flux_vT,150.0,-0.015412765684434108,305.0,340.0,36,25–90°N area–mass weighted,15.0
standard,BCwave_b1n1s-5,1.0,1,-5,eddy_heat_flux_vT,200.0,-0.1594004517214166,305.0,340.0,36,25–90°N area–mass weighted,15.0
standard,BCwave_b1n1s-5,1.0,1,-5,eddy_heat_flux_vT,250.0,-0.26017289112011593,305.0,340.0,36,25–90°N area–mass weighted,15.0
standard,BCwave_b1n1s-5,1.0,1,-5,eddy_heat_flux_vT,300.0,-0.07798459163556497,305.0,340.0,36,25–90°N area–mass weighted,15.0
standard,BCwave_b1n1s-5,1.0,1,-5,eddy_heat_flux_vT,400.0,0.7324804845783446,305.0,340.0,36,25–90°N area–mass weighted,15.0
standard,BCwave_b1n1s-5,1.0,1,-5,eddy_heat_flux_vT,500.0,1.7626560131708782,305.0,340.0,36,25–90°N area–mass weighted,15.0
standard,BCwave_b1n1s-5,1.0,1,-5,eddy_heat_flux_vT,600.0,2.8273225691583423,305.0,340.0,36,25–90°N area–mass weighted,15.0
standard,BCwave_b1n1s-5,1.0,1,-5,eddy_heat_flux_vT,700.0,3.5155312286482916,305.0,340.0,36,25–90°N area–mass weighted,15.0
standard,BCwave_b1n1s-5,1.0,1,-5,eddy_heat_flux_vT,850.0,6.091749615139431,305.0,340.0,36,25–90°N area–mass weighted,15.0
standard,BCwave_b1n1s-5,1.0,1,-5,eddy_heat_flux_vT,925.0,8.443152573373583,305.0,340.0,36,25–90°N area–mass weighted,15.0
standard,BCwave_b1n1s-5,1.0,1,-5,eddy_heat_flux_vT,975.0,9.44624956448873,305.0,340.0,36,25–90°N area–mass weighted,15.0
standard,BCwave_b1n1s-5,1.0,1,-5,eddy_heat_flux_vT,1000.0,9.127580881118774,305.0,340.0,36,25–90°N area–mass weighted,15.0
standard,BCwave_b1n1,1.0,1,0,eddy_heat_flux_vT,10.0,0.0005461667115971642,297.0,334.0,38,25–90°N area–mass weighted,15.0
standard,BCwave_b1n1,1.0,1,0,eddy_heat_flux_vT,50.0,0.006563211313301795,297.0,334.0,38,25–90°N area–mass weighted,15.0
standard,BCwave_b1n1,1.0,1,0,eddy_heat_flux_vT,100.0,0.020794576426085672,297.0,334.0,38,25–90°N area–mass weighted,15.0
