ensemble,case,b,n,s,time_h,eke_25_90N_area_mass_weighted_m2_s-2
standard,BCwave_b1n1s-10,1.0,1,-10,1.0,0.0011296098137105
standard,BCwave_b1n1s-10,1.0,1,-10,2.0,0.0009872646811137
standard,BCwave_b1n1s-10,1.0,1,-10,3.0,0.0009610422771133
standard,BCwave_b1n1s-10,1.0,1,-10,4.0,0.0009359635037007
standard,BCwave_b1n1s-10,1.0,1,-10,5.0,0.0009163471640571
standard,BCwave_b1n1s-10,1.0,1,-10,6.0,0.0008974439339833
standard,BCwave_b1n1s-10,1.0,1,-10,7.0,0.00087850228459
standard,BCwave_b1n1s-10,1.0,1,-10,8.0,0.0008602940874059
standard,BCwave_b1n1s-10,1.0,1,-10,9.0,0.0008423242779435
standard,BCwave_b1n1s-10,1.0,1,-10,10.0,0.0008235884685501
standard,BCwave_b1n1s-10,1.0,1,-10,11.0,0.0008053039754132
standard,BCwave_b1n1s-10,1.0,1,-10,12.0,0.0007894128534504
standard,BCwave_b1n1s-10,1.0,1,-10,13.0,0.0007808255111332
standard,BCwave_b1n1s-10,1.0,1,-10,14.0,0.0007792452808765
standard,BCwave_b1n1s-10,1.0,1,-10,15.0,0.0007785470041596
standard,BCwave_b1n1s-10,1.0,1,-10,16.0,0.0007777663879926
standard,BCwave_b1n1s-10,1.0,1,-10,17.0,0.0007766196849746
standard,BCwave_b1n1s-10,1.0,1,-10,18.0,0.0007761728935606
standard,BCwave_b1n1s-10,1.0,1,-10,19.0,0.000776580360163
standard,BCwave_b1n1s-10,1.0,1,-10,20.0,0.0007766707174848
standard,BCwave_b1n1s-10,1.0,1,-10,21.0,0.0007775724592662
standard,BCwave_b1n1s-10,1.0,1,-10,22.0,0.0007799340077687
standard,BCwave_b1n1s-10,1.0,1,-10,23.0,0.0007849451662759
standard,BCwave_b1n1s-10,1.0,1,-10,24.0,0.0008002839525094
standard,BCwave_b1n1s-10,1.0,1,-10,25.0,0.0008241639215163
standard,BCwave_b1n1s-10,1.0,1,-10,26.0,0.0008449106705936
standard,BCwave_b1n1s-10,1.0,1,-10,27.0,0.0008567288927984
standard,BCwave_b1n1s-10,1.0,1,-10,28.0,0.0008642909708709
standard,BCwave_b1n1s-10,1.0,1,-10,29.0,0.0008755522489171
standard,BCwave_b1n1s-10,1.0,1,-10,30.0,0.0008870377529126
standard,BCwave_b1n1s-10,1.0,1,-10,31.0,0.0008927757988529
standard,BCwave_b1n1s-10,1.0,1,-10,32.0,0.0009037450495635
standard,BCwave_b1n1s-10,1.0,1,-10,33.0,0.0009226578765647
standard,BCwave_b1n1s-10,1.0,1,-10,34.0,0.0008968046646071
standard,BCwave_b1n1s-10,1.0,1,-10,35.0,0.0008513720528439
standard,BCwave_b1n1s-10,1.0,1,-10,36.0,0.0008275757017228
standard,BCwave_b1n1s-10,1.0,1,-10,37.0,0.0009763537950548
standard,BCwave_b1n1s-10,1.0,1,-10,38.0,0.0008835690845699
standard,BCwave_b1n1s-10,1.0,1,-10,39.0,0.0008430232500351
standard,BCwave_b1n1s-10,1.0,1,-10,40.0,0.0008566284405335
standard,BCwave_b1n1s-10,1.0,1,-10,41.0,0.0008698572539253
standard,BCwave_b1n1s-10,1.0,1,-10,42.0,0.0008696531698604
standard,BCwave_b1n1s-10,1.0,1,-10,43.0,0.0008678017581796
standard,BCwave_b1n1s-10,1.0,1,-10,44.0,0.0008677081822261
standard,BCwave_b1n1s-10,1.0,1,-10,45.0,0.0008709279580231
standard,BCwave_b1n1s-10,1.0,1,-10,46.0,0.0008750456754036
standard,BCwave_b1n1s-10,1.0,1,-10,47.0,0.0008760667407332
standard,BCwave_b1n1s-10,1.0,1,-10,48.0,0.000874585620782
standard,BCwave_b1n1s-10,1.0,1,-10,49.0,0.0008769587255862
standard,BCwave_b1n1s-10,1.0,1,-10,50.0,0.0008832232535183
standard,BCwave_b1n1s-10,1.0,1,-10,51.0,0.0008913341835747
standard,BCwave_b1n1s-10,1.0,1,-10,52.0,0.0008994000342583
standard,BCwave_b1n1s-10,1.0,1,-10,53.0,0.0009050997676893
standard,BCwave_b1n1s-10,1.0,1,-10,54.0,0.0009104907304527
standard,BCwave_b1n1s-10,1.0,1,-10,55.0,0.0009180121054912
standard,BCwave_b1n1s-10,1.0,1,-10,56.0,0.0009253679448956
standard,BCwave_b1n1s-10,1.0,1,-10,57.0,0.0009318555269642
standard,BCwave_b1n1s-10,1.0,1,-10,58.0,0.0009422158665176
standard,BCwave_b1n1s-10,1.0,1,-10,59.0,0.000957691664689
standard,BCwave_b1n1s-10,1.0,1,-10,60.0,0.0009717951619431
standard,BCwave_b1n1s-10,1.0,1,-10,61.0,0.0009881251504516
standard,BCwave_b1n1s-10,1.0,1,-10,62.0,0.0010113291836294
standard,BCwave_b1n1s-10,1.0,1,-10,63.0,0.0010349662898379
standard,BCwave_b1n1s-10,1.0,1,-10,64.0,0.0010496636196566
standard,BCwave_b1n1s-10,1.0,1,-10,65.0,0.0010580115138694
standard,BCwave_b1n1s-10,1.0,1,-10,66.0,0.0010703544228901
standard,BCwave_b1n1s-10,1.0,1,-10,67.0,0.0010811659046722
standard,BCwave_b1n1s-10,1.0,1,-10,68.0,0.0010772189817017
standard,BCwave_b1n1s-10,1.0,1,-10,69.0,0.0010707307205768
standard,BCwave_b1n1s-10,1.0,1,-10,70.0,0.0010953030193855
standard,BCwave_b1n1s-10,1.0,1,-10,71.0,0.0011020520691186
standard,BCwave_b1n1s-10,1.0,1,-10,72.0,0.0011148976647234
standard,BCwave_b1n1s-10,1.0,1,-10,73.0,0.0011361898751377
standard,BCwave_b1n1s-10,1.0,1,-10,74.0,0.0011791889109011
standard,BCwave_b1n1s-10,1.0,1,-10,75.0,0.0011730904912367
standard,BCwave_b1n1s-10,1.0,1,-10,76.0,0.0011822019364473
standard,BCwave_b1n1s-10,1.0,1,-10,77.0,0.0012293641304313
standard,BCwave_b1n1s-10,1.0,1,-10,78.0,0.0012721021055615
standard,BCwave_b1n1s-10,1.0,1,-10,79.0,0.0012900685795839
standard,BCwave_b1n1s-10,1.0,1,-10,80.0,0.0012944453239605
standard,BCwave_b1n1s-10,1.0,1,-10,81.0,0.0012994170425224
standard,BCwave_b1n1s-10,1.0,1,-10,82.0,0.0013132964805815
standard,BCwave_b1n1s-10,1.0,1,-10,83.0,0.0013371472067736
standard,BCwave_b1n1s-10,1.0,1,-10,84.0,0.0013665549711495
standard,BCwave_b1n1s-10,1.0,1,-10,85.0,0.0013983608707397
standard,BCwave_b1n1s-10,1.0,1,-10,86.0,0.0014350580487646
standard,BCwave_b1n1s-10,1.0,1,-10,87.0,0.001474748577695
standard,BCwave_b1n1s-10,1.0,1,-10,88.0,0.00151146352842
standard,BCwave_b1n1s-10,1.0,1,-10,89.0,0.0015448986824387
standard,BCwave_b1n1s-10,1.0,1,-10,90.0,0.0015766447743992
standard,BCwave_b1n1s-10,1.0,1,-10,91.0,0.0016100750842207
standard,BCwave_b1n1s-10,1.0,1,-10,92.0,0.0016493437339638
standard,BCwave_b1n1s-10,1.0,1,-10,93.0,0.0016912380663035
standard,BCwave_b1n1s-10,1.0,1,-10,94.0,0.0017289349726292
standard,BCwave_b1n1s-10,1.0,1,-10,95.0,0.0017658644282274
standard,BCwave_b1n1s-10,1.0,1,-10,96.0,0.0018072029571743
standard,BCwave_b1n1s-10,1.0,1,-10,97.0,0.0018492485266002
standard,BCwave_b1n1s-10,1.0,1,-10,98.0,0.0018943896286058
standard,BCwave_b1n1s-10,1.0,1,-10,99.0,0.0019475689358217
standard,BCwave_b1n1s-10,1.0,1,-10,100.0,0.0020026864593861
