ensemble,case,b,n,s,initial_eady_25_90N_area_mass_weighted_day-1,eady_valid_weight_fraction,latitude_requested_min_deg,latitude_requested_max_deg,latitude_grid_min_deg,latitude_grid_max_deg,pressure_top_hpa,pressure_bottom_hpa
standard,BCwave_b1n1s-10,1.0,1,-10,0.24889551225944972,1.0,25.0,90.0,25.5,89.5,10.0,1000.0
standard,BCwave_b1n1s-5,1.0,1,-5,0.2762909532291852,1.0,25.0,90.0,25.5,89.5,10.0,1000.0
standard,BCwave_b1n1,1.0,1,0,0.2936729731157123,1.0,25.0,90.0,25.5,89.5,10.0,1000.0
standard,BCwave_b1n1s5,1.0,1,5,0.2991280513611006,1.0,25.0,90.0,25.5,89.5,10.0,1000.0
standard,BCwave_b1n1s10,1.0,1,10,0.29211159601442294,1.0,25.0,90.0,25.5,89.5,10.0,1000.0
standard,BCwave_b1n3s-10,1.0,3,-10,0.182907828598325,1.0,25.0,90.0,25.5,89.5,10.0,1000.0
standard,BCwave_b1n3s-5,1.0,3,-5,0.20678798279608152,1.0,25.0,90.0,25.5,89.5,10.0,1000.0
standard,BCwave_b1n3,1.0,3,0,0.21749659333514856,1.0,25.0,90.0,25.5,89.5,10.0,1000.0
standard,BCwave_b1n3s5,1.0,3,5,0.21629336518981576,1.0,25.0,90.0,25.5,89.5,10.0,1000.0
standard,BCwave_b1n3s10,1.0,3,10,0.20590902789586832,1.0,25.0,90.0,25.5,89.5,10.0,1000.0
standard,BCwave_b1n6s-10,1.0,6,-10,0.1452280157062372,1.0,25.0,90.0,25.5,89.5,10.0,1000.0
standard,BCwave_b1n6s-5,1.0,6,-5,0.16162557372732966,1.0,25.0,90.0,25.5,89.5,10.0,1000.0
standard,BCwave_b1n6,1.0,6,0,0.16630148483629076,1.0,25.0,90.0,25.5,89.5,10.0,1000.0
standard,BCwave_b1n6s5,1.0,6,5,0.16326043142338495,1.0,25.0,90.0,25.5,89.5,10.0,1000.0
standard,BCwave_b1n6s10,1.0,6,10,0.15476893702453134,1.0,25.0,90.0,25.5,89.5,10.0,1000.0
standard,BCwave_b15n1s-10,1.5,1,-10,0.30792141689940444,1.0,25.0,90.0,25.5,89.5,10.0,1000.0
standard,BCwave_b15n1s-5,1.5,1,-5,0.34183384816433504,1.0,25.0,90.0,25.5,89.5,10.0,1000.0
standard,BCwave_b15n1,1.5,1,0,0.36349667436583116,1.0,25.0,90.0,25.5,89.5,10.0,1000.0
standard,BCwave_b15n1s5,1.5,1,5,0.3705891353778486,1.0,25.0,90.0,25.5,89.5,10.0,1000.0
standard,BCwave_b15n1s10,1.5,1,10,0.36241980043649097,1.0,25.0,90.0,25.5,89.5,10.0,1000.0
standard,BCwave_b15n3s-10,1.5,3,-10,0.22560528314728567,1.0,25.0,90.0,25.5,89.5,10.0,1000.0
standard,BCwave_b15n3s-5,1.5,3,-5,0.25521528884548683,1.0,25.0,90.0,25.5,89.5,10.0,1000.0
standard,BCwave_b15n3,1.5,3,0,0.26892746122133404,1.0,25.0,90.0,25.5,89.5,10.0,1000.0
standard,BCwave_b15n3s5,1.5,3,5,0.2681420203707696,1.0,25.0,90.0,25.5,89.5,10.0,1000.0
